Team,AverageGoalsPerPlayerByTeam
Austria,0.12903225806451613
Belgium,0.13725490196078433
Croatia,0.2033898305084746
Czech Republic,0.0784313725490196
Denmark,0.08333333333333333
England,0.0625
Finland,0.0425531914893617
France,0.12
Germany,0.12903225806451613
Hungary,0.14285714285714285
Italy,0.11702127659574468
Netherlands,0.140625
North Macedonia,0.09375
Poland,0.06451612903225806
Portugal,0.20588235294117646
Russia,0.16666666666666666
Scotland,0.0625
Slovakia,0.09090909090909091
Spain,0.05405405405405406
Sweden,0.13636363636363635
Switzerland,0.14814814814814814
Turkey,0.13333333333333333
Ukraine,0.12698412698412698
Wales,0.13333333333333333
