TeamName,BallPossession
Austria,60
Austria,48
Austria,53
Austria,49
Belgium,46
Belgium,44
Belgium,62
Belgium,53
Belgium,58
Croatia,50
Croatia,64
Croatia,36
Croatia,48
Czech Republic,50
Czech Republic,53
Czech Republic,43
Czech Republic,48
Czech Republic,44
Denmark,47
Denmark,47
Denmark,63
Denmark,42
Denmark,52
England,57
England,52
England,58
England,47
England,60
England,39
England,51
Finland,37
Finland,42
Finland,25
France,42
France,53
France,61
France,51
Germany,53
Germany,58
Germany,70
Germany,56
Hungary,30
Hungary,39
Hungary,35
Italy,54
Italy,52
Italy,61
Italy,35
Italy,49
Italy,63
Italy,61
Netherlands,47
Netherlands,52
Netherlands,63
Netherlands,57
North Macedonia,40
North Macedonia,43
North Macedonia,48
Poland,56
Poland,31
Poland,61
Portugal,56
Portugal,65
Portugal,49
Portugal,44
Russia,38
Russia,75
Scotland,36
Scotland,40
Scotland,56
Slovakia,44
Slovakia,38
Slovakia,57
Spain,64
Spain,65
Spain,62
Spain,69
Spain,75
Spain,66
Sweden,25
Sweden,39
Sweden,43
Sweden,46
Switzerland,47
Switzerland,51
Switzerland,34
Switzerland,49
Switzerland,62
Turkey,51
Turkey,39
Turkey,56
Ukraine,37
Ukraine,54
Ukraine,51
Ukraine,49
Ukraine,52
Wales,37
Wales,44
Wales,48
Wales,38
